modelo,marca,valor,km,transmissao,combustivel,cor,ano,novidade,vendedor
HB20,HYUNDAI,64990.0,61000.0,manual,flex,Prata,2020,False,Grupo R1 Autos 
UNO,FIAT,54990.0,43200.0,,flex,Branco,2021,False,Grupo R1 Autos 
ONIX,CHEVROLET,44500.0,68153.0,manual,flex,Preto,2015,False,SHOPCAR MULTIMARCAS
HB20,HYUNDAI,47500.0,110000.0,manual,flex,Branco,2017,False,MGM AUTOMÓVEIS
COROLLA,TOYOTA,163000.0,18000.0,automatico,flex,Cinza,2022,False,Auto Flex
VIRTUS,VOLKSWAGEN,99990.0,32692.0,automatico,flex,Cinza,2021,False,XCAR PLUS VEÍCULOS
CHERY,CAOA,99990.0,41903.0,automatico,flex,Branco,2021,False,Toyolex Seminovos - Aracaju
COROLLA,TOYOTA,145990.0,54246.0,automatico,flex,Branco,2021,False,Toyolex Seminovos - Aracaju
COROLLA,TOYOTA,109990.0,30525.0,automatico,flex,Cinza,2019,False,Toyolex Seminovos - Aracaju
JETTA,VOLKSWAGEN,67000.0,95000.0,automatico,flex,Branco,2013,False,JLA Corretora
ONIX,CHEVROLET,56000.0,69000.0,manual,flex,2019,2019,False,JLA Corretora
CIVIC,HONDA,97990.0,61000.0,automatico,flex,Preto,2017,False,Auto Flex
PRISMA,CHEVROLET,60000.0,75000.0,manual,flex,Prata,2017,False,Osman Santos
ONIX,CHEVROLET,57000.0,36000.0,manual,flex,Vermelho,2017,False,Kennyson Medeiros
STRADA,FIAT,58990.0,78295.0,manual,flex,Branco,2017,False,TOPCAR Veículos
PRISMA,CHEVROLET,46990.0,81404.0,manual,flex,Cinza,2015,False,TOPCAR Veículos
HB20S,HYUNDAI,65000.0,25048.0,manual,flex,Prata,2019,False,NETTO VEICULOS
PRISMA,CHEVROLET,53900.0,42431.0,manual,flex,Branco,2019,False,NETTO VEICULOS
KWID,RENAULT,53900.0,12080.0,manual,flex,Branco,2022,False,CAMESA AUTOMÓVEIS
MOBI,FIAT,55900.0,28555.0,manual,flex,Prata,2022,False,CAMESA AUTOMÓVEIS
HB20,HYUNDAI,52900.0,59000.0,manual,flex,Preto,2017,False,Automania Multimarcas - Aracaju
FIESTA,FORD,41000.0,124509.0,manual,flex,Prata,2014,False,SERTANEJO VEÍCULOS
KA,FORD,58990.0,43000.0,manual,flex,Branco,2021,False,Grupo R1 Autos 
RENEGADE,JEEP,78990.0,53900.0,manual,flex,Verde,2018,False,Grupo R1 Autos 
CRONOS,FIAT,77990.0,28000.0,manual,flex,Branco,2022,True,Grupo R1 Autos 
HB20,HYUNDAI,59800.0,70000.0,automatico,flex,Preto,2017,False,Aracaju Automóveis 
ETIOS,TOYOTA,38800.0,99000.0,manual,flex,Branco,2013,False,Aracaju Automóveis 
HB20,HYUNDAI,42800.0,110000.0,manual,flex,Branco,2014,False,Aracaju Automóveis 
HB20,HYUNDAI,55800.0,99000.0,automatico,flex,Branco,2015,False,Aracaju Automóveis 
PRISMA,CHEVROLET,53500.0,39205.0,manual,flex,Branco,2019,False,PRIMECAR AUTOMÓVEIS
IX35,HYUNDAI,68800.0,100000.0,automatico,gasolina,Preto,2012,False,Aracaju Automóveis 
A3,AUDI,86800.0,74000.0,automatico,gasolina,Branco,2016,False,Aracaju Automóveis 
VIRTUS,VOLKSWAGEN,118990.0,17000.0,automatico,flex,Branco,2021,False,XCAR PLUS VEÍCULOS
COMPASS,JEEP,119800.0,70000.0,automatico,diesel,Prata,2020,False,Aracaju Automóveis 
OUTLANDER,MITSUBISHI,70800.0,120000.0,automatico,gasolina,Cinza,2015,False,Aracaju Automóveis 
RENEGADE,JEEP,70800.0,75000.0,automatico,flex,Vermelho,2016,False,Aracaju Automóveis 
KA,FORD,49990.0,48876.0,manual,flex,Prata,2019,False,XCAR PLUS VEÍCULOS
POLO,VOLKSWAGEN,75990.0,26000.0,manual,flex,Branco,2021,False,XCAR PLUS VEÍCULOS
ARGO,FIAT,61990.0,33000.0,manual,flex,Preto,2021,False,XCAR PLUS VEÍCULOS
I30,HYUNDAI,59900.0,82800.0,automatico,gasolina,Prata,2014,False,ROGÉRIO AUTOMÓVEIS
CHERY,CAOA,168000.0,27113.0,automatico,flex,Cinza,2023,False,Supreme Car
CRETA,HYUNDAI,85990.0,33398.0,automatico,flex,Branco,2020,False,Autoforte Veículos Ltda
SAVEIRO,VOLKSWAGEN,47900.0,145681.0,manual,flex,Branco,2016,False,CAMESA AUTOMÓVEIS
DUSTER,RENAULT,49000.0,124989.0,automatico,flex,Verde,2014,False,PRIMECAR AUTOMÓVEIS
STRADA,FIAT,62990.0,67696.0,manual,flex,Branco,2020,False,XCAR PLUS VEÍCULOS
C-180,Mercedes,117000.0,90000.0,automatico,flex,Branco,2016,False,Eduardo de souza soares
FOCUS,FORD,60000.0,90000.0,automatico,gasolina,Verde,2016,False,PEDRO IVO VEICULOS
SIENA,FIAT,38500.0,106000.0,manual,flex,Prata,2014,False,PEDRO IVO VEICULOS
SENTRA,NISSAN,52000.0,78000.0,automatico,flex,Preto,2014,False,PEDRO IVO VEICULOS
SANDERO,RENAULT,41000.0,113000.0,automatico,flex,Prata,2016,False,PEDRO IVO VEICULOS
ONIX,CHEVROLET,82500.0,23400.0,automatico,flex,Vermelho,2020,False,JANE MEIRE BARBOSA
SAVEIRO,VOLKSWAGEN,82000.0,93104.0,manual,flex,Prata,2021,False,Isaias Automóveis - Aracaju
ECOSPORT,FORD,62800.0,85729.0,,flex,Branco,2017,False,Isaias Automóveis - Aracaju
CIVIC,HONDA,65800.0,121852.0,automatico,flex,Branco,2012,False,Isaias Automóveis - Aracaju
CIVIC,HONDA,128000.0,86674.0,automatico,gasolina,Cinza,2019,False,Isaias Automóveis - Aracaju
RANGER,FORD,179800.0,54000.0,automatico,diesel,Preto,2022,False,Aracaju Automóveis 
RANGER,FORD,179800.0,54000.0,automatico,diesel,Preto,2022,False,Aracaju Automóveis 
COROLLA,TOYOTA,142999.99,4700.0,automatico,flex,Branco,2023,False,Wellington Inácio Ribeiro 
VIRTUS,VOLKSWAGEN,72000.0,68017.0,automatico,flex,Branco,2020,False,ATLANTIC MULTIMARCAS
500,FIAT,45000.0,38502.0,automatico,gasolina,Branco,2014,False,ATLANTIC MULTIMARCAS
PRISMA,CHEVROLET,55000.0,90842.0,manual,flex,Preto,2017,False,IDEAL MULTIMARCAS
PRISMA,CHEVROLET,58500.0,80506.0,manual,flex,Branco,2018,False,Foco Veículos
KA,FORD,49000.0,52312.0,manual,flex,Prata,2019,False,Foco Veículos
COROLLA,TOYOTA,159900.0,24473.0,automatico,flex,Prata,2022,False,VIA CAR VEÍCULOS
RANGER,FORD,149990.0,73425.0,automatico,diesel,Cinza,2019,False,Gama Seminovos 
CRETA,HYUNDAI,95990.0,76272.0,automatico,flex,Branco,2018,False,81 AUTOS 
MOBI,FIAT,54900.0,40658.0,manual,flex,Preto,2021,False,NETTO VEICULOS
COROLLA,TOYOTA,125990.0,54633.0,automatico,flex,Prata,2020,False,Autoforte Veículos Ltda
HR-V,HONDA,115990.0,27877.0,automatico,flex,Prata,2020,False,Autoforte Veículos Ltda
HB20,HYUNDAI,83990.0,28000.0,automatico,flex,Vermelho,2020,False,Podium Automóveis 
UP,VOLKSWAGEN,59990.0,49728.0,manual,flex,Cinza,2019,False,XCAR PLUS VEÍCULOS
COMPASS,JEEP,125000.0,138000.0,automatico,diesel,Branco,2020,False,NOSSATERRA SEMINOVOS FIAT / JEEP
KA,FORD,56990.0,60000.0,manual,flex,Vermelho,2020,False,NOSSATERRA SEMINOVOS FIAT / JEEP
HR-V,HONDA,81500.0,92000.0,automatico,flex,Branco,2016,False,Achiles Pinto
SPORTAGE,KIA,164990.0,19902.0,automatico,flex,Preto,2021,False,Toyolex Seminovos - Aracaju
COROLLA,TOYOTA,190990.0,3805.0,automatico,flex,Branco,2023,False,Toyolex Seminovos - Aracaju
ONIX,CHEVROLET,73900.0,68236.0,manual,flex,Cinza,2020,False,Gama Seminovos 
SANDERO,RENAULT,38500.0,89000.0,automatico,flex,Branco,2014,False,Galeguinho Veículos - Maceió
ECOSPORT,FORD,87990.0,10847.0,automatico,flex,Branco,2020,True,MANGABEIRAS VEÍCULOS
KA,FORD,59990.0,32847.0,automatico,flex,Preto,2019,False,MANGABEIRAS VEÍCULOS
ONIX,CHEVROLET,49000.0,78360.0,manual,flex,Branco,2019,False,PRIMECAR AUTOMÓVEIS
JETTA,VOLKSWAGEN,85000.0,78340.0,automatico,gasolina,Branco,2016,False,Luciano Henrique Silva da Rocha 
SPIN,CHEVROLET,57000.0,68000.0,automatico,flex,2017,2017,False,Carlos Henrique Setton
SANDERO,RENAULT,49990.0,43178.0,automatico,flex,Branco,2020,False,TOPCAR Veículos
COROLLA,TOYOTA,166990.0,5401.0,automatico,flex,Branco,2023,False,Toyolex Seminovos - Aracaju
SANDERO,RENAULT,43990.0,79227.0,manual,flex,Azul,2015,False,TOPCAR Veículos
TRACKER,CHEVROLET,87990.0,39902.0,automatico,flex,Cinza,2019,False,Toyolex Seminovos - Aracaju
RENEGADE,JEEP,86990.0,43903.0,automatico,flex,Cinza,2020,False,Toyolex Seminovos - Aracaju
ONIX,CHEVROLET,65000.0,56960.0,manual,flex,Branco,2018,False,Vip Automóveis - Aracaju
ECOSPORT,FORD,55000.0,96352.0,manual,flex,Branco,2014,False,Vip Automóveis - Aracaju
SPORTAGE,KIA,119000.0,94989.0,automatico,flex,Azul,2019,False,Isaias Automóveis - Aracaju
SPIN,CHEVROLET,82800.0,88000.0,manual,flex,Branco,2020,False,Edson Veículos - Aracaju
TIGGO,CHERY,70990.0,26511.0,manual,flex,Branco,2021,False,GUIMA VEICULOS - CHERY
SANDERO,RENAULT,58990.0,51454.0,manual,flex,Branco,2019,False,81 AUTOS 
HB20S,HYUNDAI,82990.0,37495.0,automatico,flex,Branco,2020,False,81 AUTOS 
HR-V,HONDA,117990.0,23715.0,automatico,flex,Branco,2020,False,Autoforte Veículos Ltda
RANGER,FORD,195990.0,45083.0,automatico,diesel,Prata,2022,False,Autoforte Veículos Ltda
ASX,MITSUBISHI,96990.0,58665.0,automatico,flex,Preto,2018,False,Gama  Seminovos - Aracaju
ONIX,CHEVROLET,58990.0,47000.0,manual,flex,Branco,2019,False,TOPCAR Veículos
GRAND,FIAT,58000.0,45479.0,manual,flex,Branco,2022,False,Foco Veículos
ONIX,CHEVROLET,81990.0,46007.0,automatico,flex,Prata,2020,False,MANGABEIRAS VEÍCULOS
500,FIAT,49800.0,66000.0,automatico,flex,Branco,2014,False,Tiago Calheiros Veículos 
KWID,RENAULT,46990.0,51512.0,manual,flex,Preto,2020,False,Boa Terra Veículos Maceió
FOCUS,FORD,54900.0,89648.0,automatico,flex,Branco,2015,False,MGM AUTOMÓVEIS
SANDERO,RENAULT,42000.0,116312.0,manual,flex,Preto,2017,False,MGM AUTOMÓVEIS
HB20S,HYUNDAI,55000.0,74900.0,manual,flex,Branco,2018,False,ROGÉRIO AUTOMÓVEIS
COMPASS,JEEP,197000.0,15415.0,automatico,flex,Grafite,2022,False,IDEAL MULTIMARCAS
SANDERO,RENAULT,47990.0,63967.0,,flex,Prata,2020,False,JRCA Seminovos
COMPASS,JEEP,147990.0,34208.0,,diesel,Cinza,2019,False,JRCA Seminovos
GOL,VOLKSWAGEN,49990.0,54124.0,,flex,Preto,2018,False,JRCA Seminovos
NIVUS,VOLKSWAGEN,125990.0,16201.0,,flex,Azul,2022,False,JRCA Seminovos
UP,VOLKSWAGEN,60990.0,53085.0,,flex,Prata,2019,False,JRCA Seminovos
TAOS,VOLKSWAGEN,183990.0,13186.0,,flex,Bege,2022,False,JRCA Seminovos
VIRTUS,VOLKSWAGEN,75990.0,67956.0,,flex,Branco,2018,False,JRCA Seminovos
COROLLA,TOYOTA,87990.0,70765.0,,flex,Preto,2018,False,JRCA Seminovos
T-CROSS,VOLKSWAGEN,105990.0,8894.0,,flex,Branco,2020,False,JRCA Seminovos
T-CROSS,VOLKSWAGEN,105990.0,8894.0,,flex,Branco,2020,False,JRCA Seminovos
T-CROSS,VOLKSWAGEN,105990.0,8894.0,,flex,Branco,2020,False,JRCA Seminovos
T-CROSS,VOLKSWAGEN,105990.0,8894.0,,flex,Branco,2020,False,JRCA Seminovos
T-CROSS,VOLKSWAGEN,105990.0,8894.0,,flex,Branco,2020,False,JRCA Seminovos
T-CROSS,VOLKSWAGEN,105990.0,8894.0,,flex,Branco,2020,False,JRCA Seminovos
T-CROSS,VOLKSWAGEN,105990.0,8894.0,,flex,Branco,2020,False,JRCA Seminovos
AMAROK,VOLKSWAGEN,220000.0,49963.0,,diesel,Bege,2021,False,JRCA Seminovos
AMAROK,VOLKSWAGEN,220000.0,49963.0,,diesel,Bege,2021,False,JRCA Seminovos
AMAROK,VOLKSWAGEN,220000.0,49963.0,,diesel,Bege,2021,False,JRCA Seminovos
TRAILBLAZER,CHEVROLET,205000.0,67187.0,,diesel,Branco,2020,False,JRCA Seminovos
TRAILBLAZER,CHEVROLET,205000.0,67187.0,,diesel,Branco,2020,False,JRCA Seminovos
TRAILBLAZER,CHEVROLET,205000.0,67187.0,,diesel,Branco,2020,False,JRCA Seminovos
TRAILBLAZER,CHEVROLET,205000.0,67187.0,,diesel,Branco,2020,False,JRCA Seminovos
TRAILBLAZER,CHEVROLET,205000.0,67187.0,,diesel,Branco,2020,False,JRCA Seminovos
TRAILBLAZER,CHEVROLET,205000.0,67187.0,,diesel,Branco,2020,False,JRCA Seminovos
TRAILBLAZER,CHEVROLET,205000.0,67187.0,,diesel,Branco,2020,False,JRCA Seminovos
VIRTUS,VOLKSWAGEN,83000.0,26647.0,,flex,Cinza,2021,False,JRCA Seminovos
VIRTUS,VOLKSWAGEN,83000.0,26647.0,,flex,Cinza,2021,False,JRCA Seminovos
VIRTUS,VOLKSWAGEN,83000.0,26647.0,,flex,Cinza,2021,False,JRCA Seminovos
VIRTUS,VOLKSWAGEN,83000.0,26647.0,,flex,Cinza,2021,False,JRCA Seminovos
VIRTUS,VOLKSWAGEN,83000.0,26647.0,,flex,Cinza,2021,False,JRCA Seminovos
VIRTUS,VOLKSWAGEN,83000.0,26647.0,,flex,Cinza,2021,False,JRCA Seminovos
VIRTUS,VOLKSWAGEN,83000.0,26647.0,,flex,Cinza,2021,False,JRCA Seminovos
VIRTUS,VOLKSWAGEN,83000.0,26647.0,,flex,Cinza,2021,False,JRCA Seminovos
VIRTUS,VOLKSWAGEN,83000.0,26647.0,,flex,Cinza,2021,False,JRCA Seminovos
VIRTUS,VOLKSWAGEN,83000.0,26647.0,,flex,Cinza,2021,False,JRCA Seminovos
VIRTUS,VOLKSWAGEN,83000.0,26647.0,,flex,Cinza,2021,False,JRCA Seminovos
VIRTUS,VOLKSWAGEN,83000.0,26647.0,,flex,Cinza,2021,False,JRCA Seminovos
VIRTUS,VOLKSWAGEN,83000.0,26647.0,,flex,Cinza,2021,False,JRCA Seminovos
ONIX,CHEVROLET,65000.0,25134.0,,flex,Branco,2020,False,JRCA Seminovos
ONIX,CHEVROLET,65000.0,25134.0,,flex,Branco,2020,False,JRCA Seminovos
ONIX,CHEVROLET,65000.0,25134.0,,flex,Branco,2020,False,JRCA Seminovos
ONIX,CHEVROLET,65000.0,25134.0,,flex,Branco,2020,False,JRCA Seminovos
ONIX,CHEVROLET,65000.0,25134.0,,flex,Branco,2020,False,JRCA Seminovos
ONIX,CHEVROLET,65000.0,25134.0,,flex,Branco,2020,False,JRCA Seminovos
ONIX,CHEVROLET,65000.0,25134.0,,flex,Branco,2020,False,JRCA Seminovos
ONIX,CHEVROLET,65000.0,25134.0,,flex,Branco,2020,False,JRCA Seminovos
ONIX,CHEVROLET,65000.0,25134.0,,flex,Branco,2020,False,JRCA Seminovos
ONIX,CHEVROLET,65000.0,25134.0,,flex,Branco,2020,False,JRCA Seminovos
ONIX,CHEVROLET,65000.0,25134.0,,flex,Branco,2020,False,JRCA Seminovos
ONIX,CHEVROLET,65000.0,25134.0,,flex,Branco,2020,False,JRCA Seminovos
FRONTIER,NISSAN,195000.0,13653.0,,diesel,Preto,2022,False,JRCA Seminovos
FRONTIER,NISSAN,195000.0,13653.0,,diesel,Preto,2022,False,JRCA Seminovos
FRONTIER,NISSAN,195000.0,13653.0,,diesel,Preto,2022,False,JRCA Seminovos
FRONTIER,NISSAN,195000.0,13653.0,,diesel,Preto,2022,False,JRCA Seminovos
FRONTIER,NISSAN,195000.0,13653.0,,diesel,Preto,2022,False,JRCA Seminovos
FRONTIER,NISSAN,195000.0,13653.0,,diesel,Preto,2022,False,JRCA Seminovos
FRONTIER,NISSAN,195000.0,13653.0,,diesel,Preto,2022,False,JRCA Seminovos
FRONTIER,NISSAN,195000.0,13653.0,,diesel,Preto,2022,False,JRCA Seminovos
FRONTIER,NISSAN,195000.0,13653.0,,diesel,Preto,2022,False,JRCA Seminovos
FRONTIER,NISSAN,195000.0,13653.0,,diesel,Preto,2022,False,JRCA Seminovos
FRONTIER,NISSAN,195000.0,13653.0,,diesel,Preto,2022,False,JRCA Seminovos
FRONTIER,NISSAN,195000.0,13653.0,,diesel,Preto,2022,False,JRCA Seminovos
FRONTIER,NISSAN,195000.0,13653.0,,diesel,Preto,2022,False,JRCA Seminovos
FRONTIER,NISSAN,195000.0,13653.0,,diesel,Preto,2022,False,JRCA Seminovos
ECLIPSE,MITSUBISHI,177000.0,8271.0,,gasolina,Branco,2022,False,JRCA Seminovos
ECLIPSE,MITSUBISHI,177000.0,8271.0,,gasolina,Branco,2022,False,JRCA Seminovos
ECLIPSE,MITSUBISHI,177000.0,8271.0,,gasolina,Branco,2022,False,JRCA Seminovos
ECLIPSE,MITSUBISHI,177000.0,8271.0,,gasolina,Branco,2022,False,JRCA Seminovos
ECLIPSE,MITSUBISHI,177000.0,8271.0,,gasolina,Branco,2022,False,JRCA Seminovos
ECLIPSE,MITSUBISHI,177000.0,8271.0,,gasolina,Branco,2022,False,JRCA Seminovos
ECLIPSE,MITSUBISHI,177000.0,8271.0,,gasolina,Branco,2022,False,JRCA Seminovos
ECLIPSE,MITSUBISHI,177000.0,8271.0,,gasolina,Branco,2022,False,JRCA Seminovos
ECLIPSE,MITSUBISHI,177000.0,8271.0,,gasolina,Branco,2022,False,JRCA Seminovos
ECLIPSE,MITSUBISHI,177000.0,8271.0,,gasolina,Branco,2022,False,JRCA Seminovos
ECLIPSE,MITSUBISHI,177000.0,8271.0,,gasolina,Branco,2022,False,JRCA Seminovos
ECLIPSE,MITSUBISHI,177000.0,8271.0,,gasolina,Branco,2022,False,JRCA Seminovos
ECLIPSE,MITSUBISHI,177000.0,8271.0,,gasolina,Branco,2022,False,JRCA Seminovos
ECLIPSE,MITSUBISHI,177000.0,8271.0,,gasolina,Branco,2022,False,JRCA Seminovos
ECOSPORT,FORD,78990.0,22520.0,,flex,Vermelho,2020,False,JRCA Seminovos
ECOSPORT,FORD,78990.0,22520.0,,flex,Vermelho,2020,False,JRCA Seminovos
ECOSPORT,FORD,78990.0,22520.0,,flex,Vermelho,2020,False,JRCA Seminovos
ECOSPORT,FORD,78990.0,22520.0,,flex,Vermelho,2020,False,JRCA Seminovos
ECOSPORT,FORD,78990.0,22520.0,,flex,Vermelho,2020,False,JRCA Seminovos
ECOSPORT,FORD,78990.0,22520.0,,flex,Vermelho,2020,False,JRCA Seminovos
ECOSPORT,FORD,78990.0,22520.0,,flex,Vermelho,2020,False,JRCA Seminovos
ECOSPORT,FORD,78990.0,22520.0,,flex,Vermelho,2020,False,JRCA Seminovos
ECOSPORT,FORD,78990.0,22520.0,,flex,Vermelho,2020,False,JRCA Seminovos
ECOSPORT,FORD,78990.0,22520.0,,flex,Vermelho,2020,False,JRCA Seminovos
ECOSPORT,FORD,78990.0,22520.0,,flex,Vermelho,2020,False,JRCA Seminovos
ECOSPORT,FORD,78990.0,22520.0,,flex,Vermelho,2020,False,JRCA Seminovos
ECOSPORT,FORD,78990.0,22520.0,,flex,Vermelho,2020,False,JRCA Seminovos
ECOSPORT,FORD,78990.0,22520.0,,flex,Vermelho,2020,False,JRCA Seminovos
HB20S,HYUNDAI,78000.0,16399.0,,flex,Prata,2022,False,JRCA Seminovos
HB20S,HYUNDAI,78000.0,16399.0,,flex,Prata,2022,False,JRCA Seminovos
HB20S,HYUNDAI,78000.0,16399.0,,flex,Prata,2022,False,JRCA Seminovos
HB20S,HYUNDAI,78000.0,16399.0,,flex,Prata,2022,False,JRCA Seminovos
HB20S,HYUNDAI,78000.0,16399.0,,flex,Prata,2022,False,JRCA Seminovos
HB20S,HYUNDAI,78000.0,16399.0,,flex,Prata,2022,False,JRCA Seminovos
HB20S,HYUNDAI,78000.0,16399.0,,flex,Prata,2022,False,JRCA Seminovos
HB20S,HYUNDAI,78000.0,16399.0,,flex,Prata,2022,False,JRCA Seminovos
HB20S,HYUNDAI,78000.0,16399.0,,flex,Prata,2022,False,JRCA Seminovos
HB20S,HYUNDAI,78000.0,16399.0,,flex,Prata,2022,False,JRCA Seminovos
HB20S,HYUNDAI,78000.0,16399.0,,flex,Prata,2022,False,JRCA Seminovos
HB20S,HYUNDAI,78000.0,16399.0,,flex,Prata,2022,False,JRCA Seminovos
HB20S,HYUNDAI,78000.0,16399.0,,flex,Prata,2022,False,JRCA Seminovos
HB20S,HYUNDAI,78000.0,16399.0,,flex,Prata,2022,False,JRCA Seminovos
RENEGADE,JEEP,129990.0,12167.0,,flex,Prata,2022,False,JRCA Seminovos
RENEGADE,JEEP,129990.0,12167.0,,flex,Prata,2022,False,JRCA Seminovos
RENEGADE,JEEP,129990.0,12167.0,,flex,Prata,2022,False,JRCA Seminovos
RENEGADE,JEEP,129990.0,12167.0,,flex,Prata,2022,False,JRCA Seminovos
RENEGADE,JEEP,129990.0,12167.0,,flex,Prata,2022,False,JRCA Seminovos
RENEGADE,JEEP,129990.0,12167.0,,flex,Prata,2022,False,JRCA Seminovos
RENEGADE,JEEP,129990.0,12167.0,,flex,Prata,2022,False,JRCA Seminovos
RENEGADE,JEEP,129990.0,12167.0,,flex,Prata,2022,False,JRCA Seminovos
RENEGADE,JEEP,129990.0,12167.0,,flex,Prata,2022,False,JRCA Seminovos
RENEGADE,JEEP,129990.0,12167.0,,flex,Prata,2022,False,JRCA Seminovos
RENEGADE,JEEP,129990.0,12167.0,,flex,Prata,2022,False,JRCA Seminovos
RENEGADE,JEEP,129990.0,12167.0,,flex,Prata,2022,False,JRCA Seminovos
RENEGADE,JEEP,129990.0,12167.0,,flex,Prata,2022,False,JRCA Seminovos
RENEGADE,JEEP,129990.0,12167.0,,flex,Prata,2022,False,JRCA Seminovos
ONIX,CHEVROLET,89990.0,2493.0,,flex,Preto,2023,False,JRCA Seminovos
ONIX,CHEVROLET,89990.0,2493.0,,flex,Preto,2023,False,JRCA Seminovos
ONIX,CHEVROLET,89990.0,2493.0,,flex,Preto,2023,False,JRCA Seminovos
ONIX,CHEVROLET,89990.0,2493.0,,flex,Preto,2023,False,JRCA Seminovos
ONIX,CHEVROLET,89990.0,2493.0,,flex,Preto,2023,False,JRCA Seminovos
ONIX,CHEVROLET,89990.0,2493.0,,flex,Preto,2023,False,JRCA Seminovos
ONIX,CHEVROLET,89990.0,2493.0,,flex,Preto,2023,False,JRCA Seminovos
ONIX,CHEVROLET,89990.0,2493.0,,flex,Preto,2023,False,JRCA Seminovos
ONIX,CHEVROLET,89990.0,2493.0,,flex,Preto,2023,False,JRCA Seminovos
ONIX,CHEVROLET,89990.0,2493.0,,flex,Preto,2023,False,JRCA Seminovos
ONIX,CHEVROLET,89990.0,2493.0,,flex,Preto,2023,False,JRCA Seminovos
ONIX,CHEVROLET,89990.0,2493.0,,flex,Preto,2023,False,JRCA Seminovos
